experiment,K,C,scenario,routing_mode,num_routes,policy,n_drones,mean_h1,mean_h2,mean_risk,frames_per_drone,channel_util
capacity_15min_sw_nsw_assimetrico,1,32,2r_static,static,2,round-robin,126,927.3211904761905,1051.969126984127,62152.203077777776,0.2698412698412698,0.8051337317527187
capacity_15min_sw_nsw_assimetrico,1,32,2r_static,static,2,round-robin-sw,126,43.51793650793651,1052.0966666666666,1233.8030817460317,0.015873015873015872,0.8064266356949283
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,aoi-normalized,254,36.210629921259844,1052.1003937007874,1037.4885748031495,0,0.7948717948717948
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,max-weight-drift,254,36.16637795275591,1052.0966929133858,1030.2200181102362,0.003937007874015748,0.8006872852233677
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,max-weight-sw,254,36.126102362204726,1052.1003937007874,1028.2873740157481,0,0.6666666666666666
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,mw-pe,254,36.12728346456693,1052.1003937007874,1028.3139456692913,0,0.7662337662337663
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,pf-classic,254,999.8735826771654,1038.560433070866,88859.09794212598,0.19291338582677164,0.8046844374754998
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,pf-classic-sw,254,71.71141732283465,1052.1003937007874,2303.504957480315,0,0.8068422064193734
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,round-robin,254,1002.0174803149606,1052.0586614173228,88073.75065118111,0.08661417322834646,0.8049715071723325
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,round-robin-sw,254,84.76625984251969,1052.1003937007874,2960.728732677165,0,0.8064825469888761
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,aoi-normalized,6,31.203333333333333,275.495,788.6502833333334,9.666666666666666,0.8035785819201495
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,max-weight-drift,6,27.32,275.21166666666664,758.39305,9.5,0.8010584882616366
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,max-weight-sw,6,2.4033333333333333,269.95166666666665,229.59385,10,0.8041301627033792
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,mw-pe,6,2.125,285.63,243.20406666666668,9.833333333333334,0.8040460134867117
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,pf-classic,6,26.44333333333333,306.295,697.39825,9.5,0.8048581897136654
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,pf-classic-sw,6,1.9,339.37666666666667,278.6517166666667,8,0.8053531834019639
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,round-robin,6,26.446666666666665,306.235,699.552,9.5,0.8051295969602389
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,round-robin-sw,6,1.96,339.12333333333333,279.5314833333333,8,0.8057713651498335
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,aoi-normalized,14,50.58857142857143,399.91785714285714,1873.9626928571429,5.642857142857143,0.8001975308641975
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,max-weight-drift,14,50.98714285714286,401.18285714285713,1427.8440928571429,5.714285714285714,0.8033555159808792
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,max-weight-sw,14,3.1214285714285714,502.8514285714286,357.02630714285715,4.857142857142857,0.8031055244533644
