experiment,K,C,scenario,routing_mode,num_routes,policy,n_drones,mean_h1,mean_h2,mean_risk,peak_h1,peak_h2,peak_risk,frames_per_drone,channel_util
capacity_15min_sw_nsw_assimetrico,1,16,2r_static,static,2,round-robin,62,856.2541935483871,1048.274193548387,50591.214822580645,2108,2107,78270.4455,1.2903225806451613,0.8055113410266613
capacity_15min_sw_nsw_assimetrico,1,16,2r_static,static,2,round-robin-sw,24,19.055416666666666,3585.1070833333333,2105.4331666666667,224,8108,2440.2289,3.75,0.8047674872997265
capacity_15min_sw_nsw_assimetrico,1,32,2r_static,static,2,aoi-normalized,126,19.635873015873017,1052.0992063492063,748.1053198412699,69,2108,1425.6153,0,0.813508064516129
capacity_15min_sw_nsw_assimetrico,1,32,2r_static,static,2,aoi-sw,50,37.2944,3867.5072,2297.922688,100,9717,2682.1121,2.4,0.8018575851393189
capacity_15min_sw_nsw_assimetrico,1,32,2r_static,static,2,max-weight-drift,126,18.916746031746033,1052.091746031746,694.212569047619,122,2108,1392.8116,0.007936507936507936,0.8191489361702128
capacity_15min_sw_nsw_assimetrico,1,32,2r_static,static,2,max-weight-sw,50,16.297,5249.2142,2572.462564,53,10500,2660.9279,0.12,0.7942206654991243
capacity_15min_sw_nsw_assimetrico,1,32,2r_static,static,2,mw-pe,126,18.606507936507935,1052.0992063492063,656.3416912698412,56,2108,913.2003,0,0.8102893890675241
capacity_15min_sw_nsw_assimetrico,1,32,2r_static,static,2,pf-classic,126,948.6345238095238,1025.0487301587302,66136.29406031746,2099,2108,90472.8287,0.3968253968253968,0.8052636747520378
capacity_15min_sw_nsw_assimetrico,1,32,2r_static,static,2,pf-classic-sw,50,32.0296,4945.4439999999995,2573.049428,103,10499,2842.3838,1.64,0.8048192771084337
capacity_15min_sw_nsw_assimetrico,1,32,2r_static,static,2,round-robin,126,927.3211904761905,1051.969126984127,62152.203077777776,2108,2108,90178.7432,0.2698412698412698,0.8051337317527187
capacity_15min_sw_nsw_assimetrico,1,32,2r_static,static,2,round-robin-sw,50,38.2588,4950.9144,2648.2442,320,10499,3802.8267,1.64,0.8071799503273877
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,aoi-normalized,254,36.210629921259844,1052.1003937007874,1037.4885748031495,99,2108,1856.1047,0,0.7948717948717948
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,aoi-sw,102,46.46303921568627,5143.173137254902,2702.5056588235293,113,10500,2977.2271,0.37254901960784315,0.806625342952952
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,max-weight-drift,254,36.16637795275591,1052.0966929133858,1030.2200181102362,122,2108,1865.8067,0.003937007874015748,0.8006872852233677
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,max-weight-sw,102,32.0178431372549,5250.044117647059,2660.1790901960785,100,10500,2861.8314,0.00980392156862745,0.7771428571428571
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,mw-pe,254,36.12728346456693,1052.1003937007874,1028.3139456692913,99,2108,1865.8067,0,0.7662337662337663
